id,product_id,store_id,quantity,order_date,delivered_date
1,49,5,106,2018-01-20,2018-01-27
2,13,2,156,2017-12-14,2017-12-19
3,50,4,21,2017-11-10,2017-11-23
4,31,4,108,2017-08-17,2017-08-26
5,3,2,138,2018-03-30,2018-04-06
6,7,4,35,2018-02-25,2018-03-06
7,1,2,114,2017-08-19,2017-08-22
8,31,3,96,2017-12-21,2018-01-02
9,6,3,182,2018-03-01,2018-03-09
10,21,4,148,2017-06-19,2017-06-30
11,5,2,171,2017-10-26,2017-10-31
12,48,1,121,2017-07-21,2017-08-04
13,41,1,123,2017-08-25,2017-09-07
14,20,1,21,2017-11-14,2017-11-28
15,4,3,101,2017-12-09,2017-12-17
16,10,2,145,2017-12-28,2018-01-08
17,44,2,53,2017-08-29,2017-09-01
18,40,4,168,2017-10-02,2017-10-11
19,38,2,69,2018-01-23,2018-02-04
20,17,4,75,2017-06-05,2017-06-19
21,30,3,183,2018-03-07,2018-03-11
22,5,4,98,2018-03-28,2018-04-03
23,41,4,186,2017-10-07,2017-10-16
24,20,2,108,2018-02-03,2018-02-06
25,16,4,156,2017-12-01,2017-12-12
26,19,3,15,2017-12-20,2017-12-26
27,1,5,185,2017-06-26,2017-07-07
28,48,4,83,2017-09-26,2017-10-07
29,23,2,172,2017-09-06,2017-09-17
30,17,2,170,2017-07-20,2017-08-01
31,42,1,89,2018-01-12,2018-01-14
32,38,3,197,2017-08-07,2017-08-10
33,19,3,116,2017-08-29,2017-09-03
34,9,5,103,2018-02-27,2018-03-09
35,18,2,75,2018-02-02,2018-02-16
36,19,3,39,2018-01-26,2018-01-29
37,10,2,183,2017-12-21,2018-01-04
38,36,3,33,2017-12-20,2017-12-22
39,17,5,41,2018-01-19,2018-01-26
40,44,3,159,2017-12-13,2017-12-25
41,24,1,182,2017-09-28,2017-10-07
42,2,5,153,2017-11-15,2017-11-26
43,15,1,172,2018-01-24,2018-02-06
44,20,4,39,2017-08-11,2017-08-13
45,3,3,136,2017-07-30,2017-08-02
46,16,5,44,2017-12-16,2017-12-25
47,24,5,117,2018-03-28,2018-04-10
48,47,2,116,2017-07-21,2017-07-30
49,40,4,81,2017-06-17,2017-06-30
50,24,2,123,2018-01-14,2018-01-19
51,24,1,185,2017-12-06,2017-12-16
52,42,3,25,2017-12-21,2017-12-27
53,13,1,126,2017-07-17,2017-07-29
54,14,5,15,2017-06-26,2017-07-10
55,22,2,42,2018-03-17,2018-03-22
56,5,5,63,2018-03-28,2018-04-02
57,15,3,47,2017-06-02,2017-06-08
58,10,2,148,2017-10-07,2017-10-21
59,12,1,179,2017-06-14,2017-06-18
60,1,3,70,2018-03-29,2018-04-05
