id,order_id,product_id,customer_id,rating,review_date
1,3,39,94,4,2018-02-03
2,32,7,28,5,2018-02-12
3,46,2,6,5,2018-02-28
4,10,16,7,5,2018-03-03
5,26,39,32,3,2018-02-19
6,72,23,30,5,2018-04-28
7,88,46,91,4,2018-03-27
8,22,31,86,5,2018-04-29
9,11,30,99,5,2018-04-11
10,78,5,90,5,2018-01-18
11,75,2,69,5,2018-04-09
12,61,45,63,5,2018-02-18
13,86,37,68,2,2018-02-18
14,99,36,85,5,2018-02-23
15,21,38,71,5,2018-02-28
16,75,42,69,1,2018-05-06
17,84,46,70,3,2018-04-09
18,39,7,26,4,2018-02-02
19,9,18,53,5,2018-01-18
20,87,1,46,3,2018-03-23
21,52,21,54,4,2018-03-09
22,76,14,25,4,2018-02-04
23,5,15,64,4,2018-04-17
24,11,27,99,4,2018-05-15
25,80,9,11,5,2018-01-25
26,69,25,3,5,2018-02-03
27,73,39,19,3,2018-04-04
28,81,50,76,2,2018-01-25
29,75,37,69,4,2018-04-09
30,14,28,40,4,2018-04-02
31,16,42,39,4,2018-02-18
32,55,30,18,4,2018-03-21
33,28,20,8,3,2018-03-11
34,12,4,59,3,2018-04-11
35,48,28,27,5,2018-03-18
36,98,38,41,4,2018-02-23
37,91,30,47,2,2018-03-06
38,55,44,18,5,2018-01-22
39,65,11,26,1,2018-02-22
40,88,28,91,5,2018-04-23
41,51,43,71,3,2018-02-16
42,76,25,25,4,2018-01-30
43,84,13,70,1,2018-04-20
44,73,32,19,4,2018-01-31
45,20,47,20,4,2018-04-15
46,92,2,84,4,2018-03-27
47,37,10,1,5,2018-04-28
48,40,10,33,4,2018-03-06
49,71,4,42,5,2018-01-20
50,57,44,93,4,2018-03-14
51,68,9,53,5,2018-05-05
52,71,14,42,4,2018-03-10
53,19,1,54,5,2018-04-15
54,54,36,54,5,2018-02-21
55,45,50,22,3,2018-01-17
56,64,39,13,5,2018-02-05
57,29,7,57,5,2018-04-04
58,78,42,90,4,2018-04-13
59,13,7,84,5,2018-01-26
60,19,11,54,4,2018-01-28
61,18,27,64,4,2018-03-31
62,19,25,54,4,2018-01-25
63,73,18,19,4,2018-02-23
64,20,45,20,5,2018-02-12
65,64,36,13,4,2018-02-05
66,26,40,32,3,2018-04-06
67,92,21,84,3,2018-03-21
68,11,28,99,4,2018-04-24
69,98,24,41,4,2018-04-18
70,93,39,66,5,2018-04-07
71,56,6,79,5,2018-02-14
72,25,26,51,3,2018-02-16
73,71,27,42,4,2018-04-02
74,60,16,12,3,2018-04-22
75,72,20,30,5,2018-02-06
76,50,28,51,5,2018-04-05
77,53,48,34,4,2018-04-21
78,60,26,12,5,2018-03-30
79,21,14,71,4,2018-05-13
80,97,2,89,5,2018-04-07
